WardName,median_value,row_number
Are 2,1.5,1
Akanbi 3,2,2
Akanbi 4,3,3
M/Ngeri,4,4
Adewole,5,5
Oju-Ekun,7.5,6
Are 1,9,7
Ubandawaki,9.5,8
Okaka 1,11,9
Balogun Fulani 2,12,10
Oka-Ogun,12,11
Gambari 1,13.5,12
Ogidi,15,13
Alanamu,15.5,14
Wara/Osin/Egbejila,16.5,15
Badari,17,16
Oko-Erin,17.5,17
Gambari 2,18,18
Baboko,20.5,19
Ajikobi,21.5,20
Oloje,21.5,21
Zango 1,21.5,22
Akanbi 1,22.5,23
Oke Oyi/Oke-Ose/Alalubosa,22.5,24
Maya/Ileapa,23,25
Akanbi 5,24,26
Balogun Fulani 3,24.5,27
Ibagun,27.5,28
Akanbi 2,29,29
Apado,29,30
Agbeyangi/Gbadamu,31,31
Iponrin,31.5,32
Balogun Fulani 1,32.5,33
Marafa/Pepele,33,34
Okaka 2,33,35
