"","ward","hfname","conf_u5_new","conf_a5_new","tested_u5_new","tested_a5_new","Wardname"
"1","kw Adewole Ward","kw Abaniselolu Hospital",2274,906,1167,1020,"Adewole"
"2","kw Adewole Ward","kw Adewole Cottage Hospital",9008,4212,9123,16758,"Adewole"
"3","kw Adewole Ward","kw Adewole Health Centre",15850,5980,6046,10328,"Adewole"
"4","kw Adewole Ward","kw Adewole Ward",39254,15224,21716,32402,"Adewole"
"5","kw Adewole Ward","kw Adeyi Hospital, Kuntu",2603,800,668,280,"Adewole"
"6","kw Adewole Ward","kw Apalara Mimitaz Hspital",46,26,34,0,"Adewole"
"7","kw Adewole Ward","kw Idera Oluwa  Clinic & Maternity",0,0,0,0,"Adewole"
"8","kw Adewole Ward","kw Idigba Health Centre",1941,690,904,1530,"Adewole"
"9","kw Adewole Ward","kw Istijaba Clinic and Maternity, Gereu",3799,658,568,474,"Adewole"
"10","kw Adewole Ward","kw Kidiz Medical Centre",3222,1774,2951,986,"Adewole"
"11","kw Adewole Ward","kw Oke-Agodi Health Centre",602,178,566,1026,"Adewole"
"12","kw Agbeyangi/Abadamu Ward","kw Agbeyagi Primary Health Care Center",1,1,1,1,"Agbeyangi/Gbadamu"
"13","kw Agbeyangi/Abadamu Ward","kw Agbeyangi Health Centre",1989,626,836,34,"Agbeyangi/Gbadamu"
"14","kw Agbeyangi/Abadamu Ward","kw Agbeyangi/Abadamu Ward",1989,626,836,34,"Agbeyangi/Gbadamu"
"15","kw Agbeyangi/Abadamu Ward","kw Aregun/Oyekan Health Center",0,0,0,0,"Agbeyangi/Gbadamu"
"16","kw Agbeyangi/Abadamu Ward","kw Christanah Clinic & Materity",0,0,0,0,"Agbeyangi/Gbadamu"
"17","kw Agbeyangi/Abadamu Ward","kw Oyo-Bangbe Health Center",0,0,0,0,"Agbeyangi/Gbadamu"
"18","kw Ajikobi Ward","kw Agbaji Health Centre",926,398,358,1004,"Ajikobi"
"19","kw Ajikobi Ward","kw Aisat Memorial Hospital",5859,3440,7480,8814,"Ajikobi"
"20","kw Ajikobi Ward","kw Ajikobi Cottage Hospital",7002,3924,8501,19770,"Ajikobi"
"21","kw Ajikobi Ward","kw Ajikobi Ward",17410,9160,17610,33350,"Ajikobi"
"22","kw Ajikobi Ward","kw Arewa Clinic and Maternity",263,50,57,8,"Ajikobi"
"23","kw Ajikobi Ward","kw Arike Clinic & Maternity",0,0,0,0,"Ajikobi"
"24","kw Ajikobi Ward","kw Harmony Clinic and Maternity",30,0,86,160,"Ajikobi"
"25","kw Ajikobi Ward","kw Omoda  Health Centre",3401,1348,1278,3594,"Ajikobi"
"26","kw Akanbi 1 Ward","kw Akanbi 1 Ward",6834,2426,912,2456,"Akanbi 1"
"27","kw Akanbi 1 Ward","kw Bada-Ifedapo Primary Health  Care  Center.",1544,802,436,610,"Akanbi 1"
"28","kw Akanbi 1 Ward","kw Fufu Health Clinic",12,22,18,28,"Akanbi 1"
"29","kw Akanbi 1 Ward","kw Fufu Prototype Clinic",3046,838,350,878,"Akanbi 1"
"30","kw Akanbi 1 Ward","kw Ilota-Apaola Primary Health Care Center.",2296,764,314,940,"Akanbi 1"
"31","kw Akanbi 1 Ward","kw Mavelous Clinic and Maternity.",0,0,0,0,"Akanbi 1"
"32","kw Akanbi 2 Ward","kw Akanbi 2 Ward",0,0,0,0,"Akanbi 2"
"33","kw Akanbi 3 Ward","Kw Alubarika Hospital",316,322,58,80,"Akanbi 3"
"34","kw Akanbi 3 Ward","Kw Fortress Hospital",28,40,54,54,"Akanbi 3"
"35","kw Akanbi 3 Ward","Kw Oluwanisomo Hospital",106,238,70,66,"Akanbi 3"
"36","kw Akanbi 3 Ward","Kw Yusjib Hospital",2658,352,88,96,"Akanbi 3"
"37","kw Akanbi 3 Ward","kw Akanbi 3 Ward",20476,8296,2854,22994,"Akanbi 3"
"38","kw Akanbi 3 Ward","kw Albarka Medical Center.",0,0,0,0,"Akanbi 3"
"39","kw Akanbi 3 Ward","kw Ayoade Hospital",18,28,36,40,"Akanbi 3"
"40","kw Akanbi 3 Ward","kw Civil Service Hospital",7114,1702,486,15500,"Akanbi 3"
"41","kw Akanbi 3 Ward","kw Danialu Primary HealtCare Centre.",2064,984,394,830,"Akanbi 3"
"42","kw Akanbi 3 Ward","kw Delouse Medical Center.",0,0,0,0,"Akanbi 3"
"43","kw Akanbi 3 Ward","kw Delouse hospital",16,24,22,46,"Akanbi 3"
"44","kw Akanbi 3 Ward","kw Ero Omo Basic Health Clinic",4558,2388,828,3520,"Akanbi 3"
"45","kw Akanbi 3 Ward","kw Ife olu Hospital",794,268,96,186,"Akanbi 3"
"46","kw Akanbi 3 Ward","kw Ifeoluwa Clinic",20,22,24,36,"Akanbi 3"
"47","kw Akanbi 3 Ward","kw Oke Ogun/Agbabiaka Primary Health Care Center.",2284,1492,634,1138,"Akanbi 3"
"48","kw Akanbi 3 Ward","kw Ola-Olu Hospital",16,10,18,38,"Akanbi 3"
"49","kw Akanbi 3 Ward","kw Omosebi Hospital",14,22,26,78,"Akanbi 3"
"50","kw Akanbi 3 Ward","kw Onikanga Primary Health Care Center.l",270,222,226,672,"Akanbi 3"
"51","kw Akanbi 3 Ward","kw Opolo Primary Health Care Center.",72,26,102,482,"Akanbi 3"
"52","kw Akanbi 3 Ward","kw Royal Care Hospital.",84,50,38,22,"Akanbi 3"
"53","kw Akanbi 3 Ward","kw Tejumade  Clinic and Maternity",16,22,24,46,"Akanbi 3"
"54","kw Akanbi 3 Ward","kw med.Care Hospital..",236,84,42,64,"Akanbi 3"
"55","kw Akanbi 4 Ward","kw Ago Ayekale Primary Health Center",2292,1704,484,1234,"Akanbi 4"
"56","kw Akanbi 4 Ward","kw Ajisafe Cliinic",14,18,20,32,"Akanbi 4"
"57","kw Akanbi 4 Ward","kw Akanbi 4 Ward",9902,5942,2924,9814,"Akanbi 4"
"58","kw Akanbi 4 Ward","kw Al-Qudus Hospital",12,30,16,50,"Akanbi 4"
"59","kw Akanbi 4 Ward","kw Anchor Medical Hospital",28,42,40,68,"Akanbi 4"
"60","kw Akanbi 4 Ward","kw Balm Tanke Hospital,",128,46,48,82,"Akanbi 4"
"61","kw Akanbi 4 Ward","kw Crescent Gold Crown Hospital.",0,0,0,0,"Akanbi 4"
"62","kw Akanbi 4 Ward","kw Group Medical Centre",74,32,36,54,"Akanbi 4"
"63","kw Akanbi 4 Ward","kw Healing Wing Hospital",28,42,36,64,"Akanbi 4"
"64","kw Akanbi 4 Ward","kw Iyanu Olu Clinic",138,58,30,62,"Akanbi 4"
"65","kw Akanbi 4 Ward","kw Iyanu Olu.",0,0,0,0,"Akanbi 4"
"66","kw Akanbi 4 Ward","kw Iyanu oluwa Hospital",694,204,106,142,"Akanbi 4"
"67","kw Akanbi 4 Ward","kw Jalala Primary Health Care Center.",2830,1628,1516,5462,"Akanbi 4"
"68","kw Akanbi 4 Ward","kw Oyin Folorunsho  Hospital and Maternity.l",158,148,26,18,"Akanbi 4"
"69","kw Akanbi 4 Ward","kw Police Clinic",30,18,40,24,"Akanbi 4"
"70","kw Akanbi 4 Ward","kw Queen Hospital",198,66,72,96,"Akanbi 4"
"71","kw Akanbi 4 Ward","kw Sarfam Hospital",18,16,22,36,"Akanbi 4"
"72","kw Akanbi 4 Ward","kw Tanke Primary Health Care Center.",3364,1852,660,2314,"Akanbi 4"
"73","kw Akanbi 4 Ward","kw Tolulope Hospital",18,38,38,76,"Akanbi 4"
"74","kw Akanbi 5 Ward","kw Abidayo Clinic and Maternity",20,84,34,122,"Akanbi 5"
"75","kw Akanbi 5 Ward","kw Akanbi 5 Ward",12824,8008,8136,24872,"Akanbi 5"
"76","kw Akanbi 5 Ward","kw Aminat Clinic and Maternity.",0,0,0,0,"Akanbi 5"
"77","kw Akanbi 5 Ward","kw Ara Olu Clinic and Maternity.",0,0,0,0,"Akanbi 5"
"78","kw Akanbi 5 Ward","kw Arewa Hospital.",0,0,0,0,"Akanbi 5"
"79","kw Akanbi 5 Ward","kw Bola Clinic",14,16,18,34,"Akanbi 5"
"80","kw Akanbi 5 Ward","kw Godwill Clinic and Maternity",206,106,26,28,"Akanbi 5"
"81","kw Akanbi 5 Ward","kw Igbalaloju Clinic and Maternity",0,0,0,0,"Akanbi 5"
"82","kw Akanbi 5 Ward","kw Kulende Housing Estate Primary Health Care Cener.",2536,1502,222,600,"Akanbi 5"
"83","kw Akanbi 5 Ward","kw Kulende Primary Health Care Center.",3472,2224,1446,3064,"Akanbi 5"
"84","kw Akanbi 5 Ward","kw Madina Primary Health Care Center.",0,0,0,0,"Akanbi 5"
"85","kw Akanbi 5 Ward","kw Muyab Specialist Hospital",0,0,0,0,"Akanbi 5"
"86","kw Akanbi 5 Ward","kw Nakowa Medical Centre",0,0,0,0,"Akanbi 5"
"87","kw Akanbi 5 Ward","kw Ogidi Cottage Hospital.",4186,3182,6214,12754,"Akanbi 5"
"88","kw Akanbi 5 Ward","kw Olutayo Hospital",16,18,26,28,"Akanbi 5"
"89","kw Akanbi 5 Ward","kw Sobi Specialist Hospital",2480,876,374,8242,"Akanbi 5"
"90","kw Alanamu Ward","kw Alanamu Basic Health Centre",3570,964,1652,4784,"Alanamu"
"91","kw Alanamu Ward","kw Alanamu Ward",6327,2754,3211,10204,"Alanamu"
"92","kw Alanamu Ward","kw Baboko Clinic",444,166,195,380,"Alanamu"
"93","kw Alanamu Ward","kw Orelope Clinic and Maternity",544,328,377,390,"Alanamu"
"94","kw Alanamu Ward","kw Sifau Clinic and Maternity",89,154,412,2128,"Alanamu"
"95","kw Alanamu Ward","kw Tim Hospital",1735,1142,667,2522,"Alanamu"
"96","kw Apado Ward","kw Apado Primary Health Care Center",1682,483,655,33,"Apado"
"97","kw Apado Ward","kw Apado Ward",1682,483,655,33,"Apado"
"98","kw Are 1 Ward","kw Are 1 Ward",3429,741,1004,36,"Are 1"
"99","kw Are 1 Ward","kw Magaji Are Primary Health Center",3429,741,1004,36,"Are 1"
"100","kw Are 2 Ward","kw Are 2 Ward",29764,10589,8030,61,"Are 2"
"101","kw Are 2 Ward","kw Civil Service Hospital",0,0,0,0,"Are 2"
"102","kw Are 2 Ward","kw Fogofolu Hospital",473,133,409,0,"Are 2"
"103","kw Are 2 Ward","kw Life Line Hospital",0,0,0,0,"Are 2"
"104","kw Are 2 Ward","kw Lifeline Hospital",0,0,0,0,"Are 2"
"105","kw Are 2 Ward","kw Olarenwaju Hospital",28073,10216,7086,53,"Are 2"
"106","kw Are 2 Ward","kw Police Training School Clinic",0,0,0,0,"Are 2"
"107","kw Are 2 Ward","kw Sabo Oke Medical Centre",1237,265,615,34,"Are 2"
"108","kw Baboko Ward","kw Baboko Ward",1858,892,976,1396,"Baboko"
"109","kw Baboko Ward","kw Magajingeri  Health Centre",1858,892,976,1396,"Baboko"
"110","kw Badari Ward","kw Badari Health Centre",978,280,390,934,"Badari"
"111","kw Badari Ward","kw Badari Ward",4534,1802,2086,4980,"Badari"
"112","kw Badari Ward","kw Delnic Hospital",2416,1188,1220,3688,"Badari"
